"Document ID","Project","Title","Last Version","Local"
"SLB-OBDH2-DOC","OBDH 2.0","OBDH 2.0 Documentation","v0.7","https://github.com/spacelab-ufsc/obdh2/releases/download/v0.7/slb-obdh2-doc-v0.7.pdf"
"SLB-FSAT2-DOC","FloripaSat-2","FloripaSat-2 Documentation","v0.1","https://github.com/spacelab-ufsc/floripasat2-doc/releases/download/v0.1/slb-fsat2-doc-v0.1.pdf"
"SLB-IIP-DOC","IIP","Documentation of Interstage Interface Panels","v1.0","https://github.com/spacelab-ufsc/interface-board/blob/master/doc/slb-iip-doc-v1.0.pdf"
"SLB-PC104ADAPT-DOC","PC-104 Adapter","PC-104 Adapter Documentation","v2.0","https://github.com/spacelab-ufsc/pc104-adapter/blob/master/doc/slb-pc104adapt-doc-v2.0.pdf"
"SLB-FLATSAT-DOC","Flatsat Platform","Flatsat Platform Documentation","v0.1","https://github.com/spacelab-ufsc/flatsat-platform/blob/master/doc/slb-flatsat-doc-v0.1.pdf"
"SLB-TTC-DOC","FloripaSat-I","TTC Documentation","v1.2","https://github.com/spacelab-ufsc/ttc/blob/master/doc/slb-ttc-doc-v1.2.pdf"
"SLB-EPS2-DOC","EPS 2.0","EPS 2.0 Documentation","v0.2","https://github.com/spacelab-ufsc/eps2/releases/download/v0.2/slb-eps2-doc-v0.2.pdf"
"SpaceLab.PXLTP.2020.04.001 rev 0.2","Payload XL","Test Plan","rev0.2","https://github.com/spacelab-ufsc/payload-xl/tree/main/doc/internal_docs/test_plan"
"SpaceLab.PXLICD.2020.10.001 rev 0.2","Payload XL","Interface Control Document","rev0.2","https://github.com/spacelab-ufsc/payload-xl/tree/main/doc/internal_docs/interface_control_document"
"SLB-BAT4C-DOC","4 Cells Battery Module","Battery Module 4C Documentation","v0.1","https://github.com/spacelab-ufsc/battery-module-4c/blob/master/doc/slb-bat4c-doc-v0.1.pdf"
"SLB-FLATSAT2-DOC","Flatsat Platform 2.0","Flatsat Platform 2.0 Documentation","v0.1","https://github.com/spacelab-ufsc/flatsat-platform2/blob/master/doc/slb-flatsat2-doc-v0.1.pdf"
"SLB-ACS-DOC","Passive Attitude Control System","ACS Documentation","v0.1","https://github.com/spacelab-ufsc/acs/blob/master/doc/slb-acs-doc-v0.1.pdf"
"SLB-FSAT2MECH-DOC","FloripaSat-2","FloripaSat-2 Mechanical Project","v0.0","https://github.com/spacelab-ufsc/floripasat2-mechanical/blob/master/doc/slb-fsat2mech-doc-v0.0.pdf"
"SLB-TTC2-DOC","TTC 2.0","TTC 2.0 Documentation","v0.1","https://github.com/spacelab-ufsc/ttc2/releases/download/v0.1/slb-ttc2-doc-v0.1.pdf"
